0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02
(4.2536877264322505e-09+3.2991673773971838e-09j),(-2.0947938330317644e-08-6.291170712671824e-08j),(5.893636998749318e-10+3.105599076657916e-09j),(-9.735400160532711e-07-8.358572438604555e-07j),(1.8539288779895594e-09-2.7883669542588414e-09j),(1.4304807830213849e-12-4.723371655381146e-13j),(9.435980043520548e-12-1.925384324115495e-11j),(-7.194362414523893e-13+2.2456918600994622e-12j),(1.7304251717878107e-06-8.40384126736312e-07j),(-2.2029914857652666e-11-8.366220736646198e-12j),(3.2152980531480926e-12+4.15571572486318e-13j),(-6.368314240150117e-06+6.437719601352479e-06j),(-1.8335902251102176e-12-7.242888331240908e-12j),(1.063947142563808e-10-5.419907069470593e-11j),(2.996657785534022e-12+2.0146768756283587e-12j),(3.3309034485489507e-10+3.208426588750821e-10j)
(1.331584964752108e-09+7.877798263476524e-10j),(-2.668563603390138e-10+1.791887702944403e-09j),(-4.8146150490815756e-11-8.73539593828446e-10j),(4.709245705688251e-07+5.488666309855341e-07j),(-3.0619311028415134e-09+3.713336791087587e-09j),(-4.6789199697669376e-12+8.492339472574882e-13j),(-2.948570760801851e-10+2.2252641518253432e-10j),(6.508128116088409e-13+1.3471232308463418e-11j),(6.810846331509185e-06-4.081540519691225e-06j),(-6.354438389383417e-11-1.0938215941486892e-11j),(9.355947246353654e-12-2.504131892740207e-13j),(-1.3718273062093908e-05+1.4038253641305518e-05j),(-3.2386023130031646e-12-1.4644732484910735e-11j),(1.553880729806688e-10-9.43854316055015e-11j),(4.821426844236017e-12+3.279634418920777e-12j),(5.312565674172295e-10+5.86083571379478e-10j)
(-1.8647977103834598e-09-1.8840496077231924e-09j),(2.0347660943500794e-08+6.615831570670082e-08j),(-6.826000044794172e-10-4.71140144278226e-09j),(1.8376187980685288e-06+1.8476835933594115e-06j),(-7.636048470571976e-09+9.603379907540648e-09j),(-1.0195428882967668e-11+2.068797258934303e-12j),(-5.738749706540133e-10+4.2499356636336623e-10j),(1.854261627132762e-12+2.3844407124468474e-11j),(1.1304858569268324e-05-6.779933266958831e-06j),(-9.735490758054366e-11-8.796751426315956e-12j),(1.5555505564646442e-11-6.650118110492207e-13j),(-2.051475800361144e-05+2.0451658903319718e-05j),(-5.206582305233748e-12-2.1130543544062873e-11j),(1.8284492447667987e-10-1.2387894258227026e-10j),(6.3732832284693844e-12+4.073440580354256e-12j),(6.93208044276262e-10+8.798383703157406e-10j)
(-4.669993268611268e-09-4.1809134456173945e-09j),(3.684801159207327e-08+1.183009417247008e-07j),(-1.216034571471138e-09-7.77528829817196e-09j),(2.9151881466755952e-06+2.8638490678799294e-06j),(-1.1262389983596843e-08+1.405795138388316e-08j),(-1.4429345521236966e-11+2.793949585814511e-12j),(-7.944328785126328e-10+5.662826105892226e-10j),(2.4942807667901365e-12+3.230427436705979e-11j),(1.4742814868589315e-05-8.690542319069502e-06j),(-1.2140053307395525e-10-3.783075602504948e-12j),(2.058290436416124e-11-1.1533114491916164e-12j),(-2.5956944182325765e-05+2.514357055909048e-05j),(-7.481569103150782e-12-2.61962722309187e-11j),(1.9344856699238104e-10-1.4254098855338764e-10j),(7.697347527462227e-12+4.303360995275352e-12j),(8.094130205528466e-10+1.145558597866556e-09j)
(-6.508308355207643e-09-5.632133402759295e-09j),(4.620219962192238e-08+1.4871282476949678e-07j),(-1.5380620182711516e-09-9.551301823789115e-09j),(3.5441750024154515e-06+3.4515420605157016e-06j),(-1.3378516916348841e-08+1.6540335441460164e-08j),(-1.6974462962683025e-11+3.135546499546131e-12j),(-9.234794815711034e-10+6.404970408847917e-10j),(3.069416255899823e-12+3.6953640958976515e-11j),(1.6711088886707226e-05-9.714178478856054e-06j),(-1.342076657126611e-10+6.125332820682882e-13j),(2.3647931890242063e-11-1.2383838269950054e-12j),(-2.9175612348653637e-05+2.7741035443928968e-05j),(-9.008708358674164e-12-2.89113519997132e-11j),(1.9559933534872703e-10-1.5139082660287896e-10j),(8.463576617177453e-12+4.599928533908037e-12j),(8.729498640786696e-10+1.3142822221385517e-09j)
(-7.00619946307908e-09-5.934105743401661e-09j),(4.68354205117235e-08+1.5191154629652306e-07j),(-1.5629933481611329e-09-9.737368188070307e-09j),(3.6359556328032252e-06+3.5312372957170825e-06j),(-1.3611188106167946e-08+1.679479502632524e-08j),(-1.747224887025882e-11+3.2803641319541154e-12j),(-9.388006732402739e-10+6.493656082354722e-10j),(3.298667767207025e-12+3.724151275062858e-11j),(1.694786840766647e-05-9.833876776861555e-06j),(-1.35891356918251e-10+1.4096231521517908e-12j),(2.393689825144414e-11-1.2077358795947852e-12j),(-2.9566528562972695e-05+2.8047988605491487e-05j),(-9.147167606161443e-12-2.956176955009565e-11j),(1.9559106526768253e-10-1.5208627352836035e-10j),(8.597387744665914e-12+4.8950366464740455e-12j),(8.807567597752618e-10+1.3356074166342577e-09j)
(-6.0608428503166795e-09-5.026254191413763e-09j),(3.8659560439750266e-08+1.2731123296776547e-07j),(-1.2829641131295733e-09-8.301154657840175e-09j),(3.177612321446668e-06+3.092383099245512e-06j),(-1.19154400953659e-08+1.4798422743698149e-08j),(-1.5694667921046053e-11+2.929615400596041e-12j),(-8.373637813559439e-10+5.925538608343169e-10j),(3.0746458659720826e-12+3.314940367850475e-11j),(1.5420389518522273e-05-9.049578361916096e-06j),(-1.2643804619018865e-10-1.861437138627258e-12j),(2.139548258340679e-11-8.710341241284781e-13j),(-2.7051979528229916e-05+2.6041865315305968e-05j),(-7.707405785497283e-12-2.7739615296429785e-11j),(1.9449807676258024e-10-1.449256907463381e-10j),(8.17786355991568e-12+5.209299726165192e-12j),(8.319576871461002e-10+1.202825184522804e-09j)
(-3.860328010586564e-09-3.1045880592502253e-09j),(2.3057329403677733e-08+7.933657334027004e-08j),(-7.727592080376205e-10-5.488215384902578e-09j),(2.232462740859375e-06+2.193502227670518e-06j),(-8.595351966921739e-09+1.075372268648203e-08j),(-1.1826337512479383e-11+2.294187372106755e-12j),(-6.375813812459583e-10+4.689275205804207e-10j),(2.6784724982886815e-12+2.5197234278858747e-11j),(1.2335369839904185e-05-7.36882639114608e-06j),(-1.0552538279599679e-10-6.929780630519215e-12j),(1.6408798540651878e-11-4.339360171586721e-13j),(-2.2115649963052476e-05+2.187249837137418e-05j),(-5.417129219178576e-12-2.3771314202295728e-11j),(1.8677826015463312e-10-1.288625785528755e-10j),(7.348818339913892e-12+5.3591949450968234e-12j),(7.295740230057232e-10+9.564264810969858e-10j)
(-8.521987713119428e-10-5.671337600331927e-10j),(2.8434278996588717e-09+1.6724466682788717e-08j),(-1.4527649268593818e-10-1.7718004058003364e-09j),(9.380508797812555e-07+9.614308068036536e-07j),(-4.1853661545468265e-09+5.130257286405731e-09j),(-6.471703273840925e-12+1.4083461543434482e-12j),(-3.70120727301211e-10+2.809926652679459e-10j),(1.6956098518010668e-12+1.4978515388243688e-11j),(8.075877205245369e-06-4.861521685161468e-06j),(-7.414322246539917e-11-1.004668904300549e-11j),(1.0327864197341189e-11+3.941666568417198e-13j),(-1.5589944965606123e-05+1.5866581135581033e-05j),(-2.9620486745452756e-12-1.7770032597280404e-11j),(1.645226815414205e-10-1.0205155349607878e-10j),(6.041294203010056e-12+5.1740302628871606e-12j),(5.792398208751185e-10+6.63961906017795e-10j)
(2.341415615812816e-09+2.0761126929029415e-09j),(-1.8086641339517215e-08-4.90019165555053e-08j),(4.956235132185713e-10+2.2320700636684534e-09j),(-5.074438441286214e-07-4.193859030358481e-07j),(7.062528809355779e-10-1.3121228188446445e-09j),(-5.076370335258682e-13+3.040470972244059e-14j),(-6.935277802037032e-11+4.6499746861111745e-11j),(3.0948954026472277e-13+3.675929405443068e-12j),(3.1047688795250814e-06-1.73084064105605e-06j),(-3.435069375963838e-11-8.615052881014651e-12j),(4.126162347012968e-12+7.990357715057388e-13j),(-8.322310976976906e-06+8.51931429862703e-06j),(-1.3357530095867637e-12-1.0751895880307777e-11j),(1.2134404112329095e-10-6.448720353761732e-11j),(4.172985599985527e-12+4.010502831228804e-12j),(3.8981324969424134e-10+3.877715278293149e-10j)
