0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02
(-1.302537764509355e-12-7.128688241523421e-13j),(-9.92288106501571e-13-7.832861318695146e-12j),(-1.6839952526870946e-12+1.8999295011358677e-12j),(-3.149709013334844e-11-1.2974319016056654e-10j),(6.018916336654339e-13+9.587061046131356e-13j),(1.371568617463184e-11-3.474017809118284e-11j),(8.421052590159648e-11-1.2785788532480717e-11j),(4.528878808228638e-11+9.220441056298167e-12j),(-2.877524349235811e-09-2.6700747174633434e-10j),(2.6737232826300364e-11+4.769319252713698e-11j),(3.1874777437520596e-11-5.615964618997192e-12j),(-9.075394932496618e-09+4.534240131503415e-09j),(-9.64005645517757e-12+1.985606932662733e-11j),(9.096359435920887e-12-2.1951409897149324e-11j),(9.307976215589073e-12+8.36986930181289e-12j),(-1.933496300669442e-12-4.51825483256331e-11j)
(-1.5581805638556354e-12-3.9003161631946793e-13j),(-1.5383566931166042e-12-1.5636838163153973e-12j),(-7.611819079013002e-13+1.1832296835584981e-12j),(-8.234081868192472e-11+4.4742634362484126e-10j),(1.725771323845728e-12-3.1387541964218482e-12j),(-1.8628357552744903e-12-3.75756605104782e-12j),(-2.348581397800201e-12-9.883719798893207e-12j),(-7.992181997640735e-12-8.657285022819122e-12j),(-6.476533426836851e-09-6.254887288810201e-11j),(-5.757739880138574e-13-4.044489215756548e-11j),(-3.392277787500475e-11-1.1094677627571393e-11j),(-1.5681690005152837e-08+7.59618309218172e-09j),(5.6390459743241114e-11-2.625592627139413e-11j),(-1.2400761531381564e-10-2.4587680658343256e-12j),(3.86086301185884e-11-5.895825909814011e-11j),(-1.3014310330754582e-10-1.7143355519322827e-10j)
(-1.6625295276230516e-12-3.804237280471767e-13j),(-2.1032761997595503e-12+4.8813241223892245e-12j),(4.874483062701676e-13+6.43850133082402e-13j),(-1.1909549122047757e-10+9.675218893877378e-10j),(2.6042241971464817e-12-7.236342767325974e-12j),(-1.69308017995216e-11+2.8254002175514035e-11j),(-8.851516389468017e-11-5.3249592419493556e-12j),(-5.988925130984124e-11-2.498312431299332e-11j),(-9.576903197469604e-09+1.511292548851368e-10j),(-2.750385717724198e-11-1.225711143982692e-10j),(-9.451376988523992e-11-1.544259102406191e-11j),(-2.134279353221574e-08+1.0026572253292992e-08j),(1.151363723486797e-10-6.845109594884163e-11j),(-2.425859224219145e-10+1.6378530652123188e-11j),(6.386898457483093e-11-1.1949306320480822e-10j),(-2.4342788964354835e-10-2.804119248606283e-10j)
(-1.717501242801224e-12-2.0375716220493564e-13j),(-2.1751529335434e-12+1.085396449084601e-11j),(1.232910979244966e-12-2.601426963852017e-13j),(-1.4108758261923554e-10+1.3685573806193382e-09j),(3.5436081087310063e-12-1.0506885227892562e-11j),(-2.898712053634152e-11+5.418909794991697e-11j),(-1.5909699149616072e-10-7.778740935389201e-13j),(-1.0131822230228323e-10-3.78294182178217e-11j),(-1.188963172642162e-08+3.3329509017016597e-10j),(-4.938959290139083e-11-1.868515355050642e-10j),(-1.4169202824851764e-10-1.8258795907246066e-11j),(-2.555702895864402e-08+1.1719666419411624e-08j),(1.6012360651993891e-10-1.0111156149029981e-10j),(-3.327506026284565e-10+3.133466817401116e-11j),(8.282996965193934e-11-1.6568894539695387e-10j),(-3.2899610745309067e-10-3.614567104856299e-10j)
(-1.3110510832316384e-12-2.9863125830509616e-14j),(-2.240705487704982e-12+1.550664519612248e-11j),(1.957211974252946e-12-7.309292217274718e-13j),(-1.513899144615873e-10+1.60310805277229e-09j),(3.888032660466813e-12-1.2535061794637684e-11j),(-3.552437636434403e-11+6.920355170505258e-11j),(-2.0150295702611388e-10+2.263630638835702e-12j),(-1.250761584323011e-10-4.4997678189048875e-11j),(-1.3188242540242064e-08+4.442550411866615e-10j),(-6.23090405378114e-11-2.2368106443895372e-10j),(-1.6883285319167368e-10-1.97410635121022e-11j),(-2.7922660800776503e-08+1.2626836115379288e-08j),(1.8566721125195571e-10-1.1969200122052215e-10j),(-3.8391686433776845e-10+4.022482286859445e-11j),(9.338830915015406e-11-1.9214566437135501e-10j),(-3.772175514069453e-10-4.069378739170661e-10j)
(-7.119566828606689e-13-2.0392438810840905e-13j),(-2.228908460332675e-12+1.795027171651503e-11j),(1.8019959311198865e-12-7.873603629723215e-13j),(-1.5313563127501095e-10+1.6441160097492054e-09j),(4.041515635145693e-12-1.2914121111336066e-11j),(-3.628169687411058e-11+7.021912981920154e-11j),(-2.089037066102337e-10+2.9481014641072846e-12j),(-1.2724778441951668e-10-4.557804328823082e-11j),(-1.334165692189581e-08+4.579179143805055e-10j),(-6.401900141260145e-11-2.2799044556675412e-10j),(-1.718198726842257e-10-1.9815851496841972e-11j),(-2.820397329318602e-08+1.2732673328878198e-08j),(1.8893808911447642e-10-1.2176912936992038e-10j),(-3.901838831057579e-10+4.130637920284111e-11j),(9.445955828780481e-11-1.956656784253414e-10j),(-3.827315063245294e-10-4.122361311728489e-10j)
(-2.626966920018867e-13-2.4089651513089683e-13j),(-1.7879185505183966e-12+1.766385935092964e-11j),(1.4830505261314847e-12-4.568003588699474e-13j),(-1.466450770811421e-10+1.4866662542116774e-09j),(3.5852017516313047e-12-1.1895521529158438e-11j),(-3.012912143351639e-11+5.6547196021860294e-11j),(-1.7941201991604828e-10+8.672031307034506e-13j),(-1.0708563088011354e-10-3.9658018269948714e-11j),(-1.2333640215817142e-08+3.712643700527109e-10j),(-5.431138569242063e-11-1.992557449305283e-10j),(-1.505867436495593e-10-1.8580342815210097e-11j),(-2.6372790634610464e-08+1.2036032410446014e-08j),(1.6947487904217273e-10-1.0706814817202314e-10j),(-3.507865548169694e-10+3.466015289519338e-11j),(8.628777566983361e-11-1.7547093103711582e-10j),(-3.4484000168945444e-10-3.766949505055001e-10j)
(4.876915439479471e-14-3.9769360316952296e-13j),(-1.2572955564423633e-12+1.4666654280620616e-11j),(7.581414369290561e-13+1.3913195168988814e-13j),(-1.2946957817777432e-10+1.1485715221717915e-09j),(2.751869467558653e-12-9.450596157572432e-12j),(-1.8607682350133644e-11+3.143241931576881e-11j),(-1.1842178366244774e-10-3.2213789950925806e-12j),(-6.832886901575741e-11-2.799408751445175e-11j),(-1.0266941368329044e-08+2.044933818461548e-10j),(-3.495617314905106e-11-1.4154681535488328e-10j),(-1.077864594392158e-10-1.577516819062493e-11j),(-2.2612258847366897e-08+1.0547479848043155e-08j),(1.2942804534429345e-10-7.734207157058742e-11j),(-2.7046886551997587e-10+2.098849274023963e-11j),(6.937454779253159e-11-1.3463813559291143e-10j),(-2.6780419675990117e-10-3.0396847064506366e-10j)
(-2.626966920018867e-14-2.2189357155437143e-13j),(-8.155759335947465e-13+9.391954023842453e-12j),(-3.510831831650215e-13+8.142381263669591e-13j),(-9.782678867543594e-11+6.6964336048124e-10j),(1.6963395648344054e-12-5.636128642426243e-12j),(-3.732725403204587e-12-8.470752128671948e-14j),(-3.671982874121095e-11-7.782511119394784e-12j),(-1.779314017666946e-11-1.219891682541817e-11j),(-7.3457460048058575e-09-5.166854751392665e-12j),(-9.307976215589073e-12-6.30948806652976e-11j),(-4.961416208740078e-11-1.16923971649746e-11j),(-1.7286519937446128e-08+8.303781381522516e-09j),(7.364458522595115e-11-3.6760084576883457e-11j),(-1.5844575301861575e-10+2.9543648343101075e-12j),(4.5432815192241584e-11-7.765204758620771e-11j),(-1.6024753611676757e-10-2.012633831158559e-10j)
(-5.448523982261354e-14-1.3742928794543147e-14j),(-2.7096677304639055e-13+2.911402979472299e-12j),(-1.2594542908326567e-12+1.5812881432446903e-12j),(-5.16833850122712e-11+1.0674912675526043e-10j),(4.610570182310891e-13-1.180774503248411e-12j),(1.1799946224440304e-11-3.163594844265082e-11j),(5.169013485782958e-11-1.1414900980515316e-11j),(3.6065154531467355e-11+5.5746731228997605e-12j),(-3.84639681582942e-09-2.1568599399388937e-10j),(1.85261977280775e-11+2.4724684280352576e-11j),(1.5778888966977216e-11-6.3838004075918125e-12j),(-1.0877988498590808e-08+5.3936474338246125e-09j),(8.89556673291389e-12+8.936917138136409e-12j),(-2.762681382335953e-11-1.652641916021314e-11j),(1.6901339635800554e-11-1.1241229278580735e-11j),(-3.4353673421191176e-11-7.841439817513896e-11j)
